Rating,Date,Titles,Review,Company
2,28/06/2023,Unfair -,If you have a claim at the end of the year - you will be charged the excess and a week later another excess - because it’s a new year.   (£500 + £500).    For the same cancer claim - this seems very unfair.,ABC HealthCare
1,27/06/2023,AVOID AVOID AVOID!!! PLEASE READ!!!,"Impossible to receive treatment. Tried to receive treatment for a mental health condition and they have refused treatment based one thing vaguely similar being in my medical history from 15 years ago.  Their policy says something is pre existing if you’ve had treatment within 5 years. I’ve had to wait weeks for my GP to fill in the form (and pay them) to say I’ve had no treatment at all in the last 15 years but now ABC HealthCare are asking for more info from GP. To prove wellness in last 5 years, even though there are no related records in my history in the last 5 years!? So they don’t trust or even understand their own pre treatment form!  Basically there trying everything they can to try find a loophole to withstand treatment for me.   This is the worst company I’ve ever experienced with in dealing with private medical care.  If I had known how poor their service was I would never have signed up with them.  Please please please do yourself a favor and choose a different provider.  *Edit: ABC HealthCare underwriters are the lowest of the low.  Their policy is that it’s not pre existing if you’ve had no treatment within 5 years. I HAVE NEVER RECEIVED TREATMENT IN MY LIFE, ONLY THING RELATABLE IS FROM 2008 WHEN I DIDNT RECEIVE TREATMENT. ABC HealthCare: “but how do we know that your condition isn’t ongoing and you have actually been receiving treatment in the last 5 years.. you need to prove that you’ve been well since 2008” Me: “but there’s nothing in my medical history to say I have received treatment ever!” ABC HealthCare: “we need letter from your doctor to prove you’ve been well in the last 5 years” Me: “but if I’ve been unwell and received treatment in the last 5 years it would be in my medical history and on the form” ABC HealthCare: “but how do we know you’ve not received treatment..”  And round and round we go..  So I’m guilty until proven innocent. How can I prove that a condition isn’t pre existing other than not having it in my medical records??  So any condition that I try to claim treatment for they can say, although it’s not in your medical records you need to prove you’ve been well in the last 5 years..   How do I prove wellness? Your doctor needs to say you’ve been well. Medical records show no treatment. Not enough. What?!!  ABC HealthCare are a joke of a company. I will soon to be cancelling my policy and advising my company to switch all employees to an alternate provider.  The extra stress of trying to legitimately claim treatment for a mental health condition has caused me I would of definitely just gone to my GP instead, which I will end up doing after yet more weeks and months of back and forth and waiting for the complaints department etc.  Bottom line is they want me to pay money for private healthcare that is impossible to use, so what’s the point..",ABC HealthCare
1,30/04/2023,In my experience I have found ABC HealthCare hard…,"In my experience I have found ABC HealthCare hard to get to fund anything minor (they don't cover a lot of minor things), and anything really major they pass on to NHS.  If this insurance wasn't covered by my work I would not consider this product value for money.",ABC HealthCare
1,23/04/2023,General inconsistent and poor customer advice/support,Inconsistent information. Also very difficult to have a continues conversation with multiple different people. Promised call backs never happened.,ABC HealthCare
5,06/07/2023,Input dental receipt and received…,Input dental receipt and received prompt payment with no hassle.,ABC HealthCare
5,06/07/2023,Insurance claim process handled by my…,Insurance claim process handled by my dentist which was perfect!,ABC HealthCare
1,17/04/2023,Poor telephone service,It has become almost impossible to contact ABC HealthCare by phone without having to hold on the phone for at least an hour. This is unacceptable.,ABC HealthCare
2,17/05/2023,It is a shame that ABC HealthCare has basically…,"It is a shame that ABC HealthCare has basically outsourced all of its car to other providers and you have to all of the arranging yourself. I have been with other providers such as AXA PPP and found them to be far superior.   It is nearly impossible to contact ABC HealthCare on the phone, they have made this extremely hard. From speaking to the healthcare providers, this is also the same for them - just cannot get through to them.",ABC HealthCare
5,05/06/2023,It is quick and easy to put the claim…,It is quick and easy to put the claim in and my case was processed within a few days. Very handy to be able to tick the box to receive an updates on your case via a text message. Really pleased with everything.,ABC HealthCare
4,25/04/2023,It is taking charge information and…,It is taking charge information and informing me with what part I must pay. Done quickly and sensibly,ABC HealthCare
2,30/05/2023,It is very unclear how to pay,It is very unclear how to pay,ABC HealthCare
2,16/04/2023,inaccessible phone lines,It seems like they specifically attempt for you to not be able to use the insurance by being unable to get through on the phone. Over 2 hours on hold unless you call at 8am on the dot.,ABC HealthCare
1,13/04/2023,It simply doesn't work,It simply doesn't work,ABC HealthCare
3,19/04/2023,Phone queues are too long,"It takes far too long to get through on the telephone.  Once you get through, the service is generally very good.",ABC HealthCare
3,30/03/2023,It takes on average 45 minutes to get…,It takes on average 45 minutes to get through,ABC HealthCare
3,21/04/2023,It took 3 days for me to actually get…,It took 3 days for me to actually get through 😡 When I did the service was good,ABC HealthCare
1,01/03/2023,It took 3 weeks of constant phoning and…,"It took 3 weeks of constant phoning and 10 days from internet contact to get to speak to anyone. I then got an authorisation code to proceed. after my visit to the specialist I was told they couldn't pay the bill without further information, even though I had the authorisation code. I tried in vane to speak to someone to find out what they needed. Eventually I went back to the complaints department and even they said they did not know what was going on. ABC HealthCare are an absolute shower who never!!!! answer the phone.",ABC HealthCare
1,01/04/2023,It took me 3 very long attempts over…,It took me 3 very long attempts over three days to get a representative to answer the phone. Private medical insurance is not cheap and I expect a far better service than I received. Once I had my call eventually answered it all went smoothly. It was getting very close to my appointments and was very stressful trying to get an authorisation code. You don't need this when you are unwell.,ABC HealthCare
1,03/04/2023,It took me a total of 4 hours to…,It took me a total of 4 hours to eventually get through to ABC HealthCare for pre auth I was quarter 45 mins the first day second day and gave up both days as my phone charge went Disgraceful when I am paying almost 1000 per month for my husband and I  Clearly working from home is not working,ABC HealthCare
5,15/05/2023,It was a breeze to deal with anyone…,It was a breeze to deal with anyone involved,ABC HealthCare
5,01/03/2023,It was a very easy process,It was a very easy process and I found a suitable provider (physio) within the day.,ABC HealthCare
5,02/07/2023,It was easy (although a bit time…,It was easy (although a bit time consuming) and I got friendly service. Using the online referral system means no visit to my GP.,ABC HealthCare
5,27/04/2023,"Easy online claims process, fast payment","It was extremely easy to claim for dental treatment online, and the reimbursement was extremely fast – excellent",ABC HealthCare
5,10/07/2023,It was great to know that medical help…,It was great to know that medical help was there when you need it most. The claims process was easy with staff being very friendly and helpful.,ABC HealthCare
5,01/06/2023,It was great very quickly dealt with…,It was great very quickly dealt with and people were lovely,ABC HealthCare
4,23/04/2023,It was quick and easy to make the cliam.,It was quick and easy to make the cliam.,ABC HealthCare
5,04/06/2023,It was quick enough compared to NHS…,It was quick enough compared to NHS long waiting lists.,ABC HealthCare
5,04/07/2023,It was straightforward obtaining an…,It was straightforward obtaining an authorisation code which makes such a difference when you are feeling unwell.,ABC HealthCare
5,30/05/2023,Service appreciated,"It was straightforward to speak to an agent by phone, and they made every effort to ensure our coverage was appropriate and in order.  Our thanks to Holly, Chelsea and Georgia.",ABC HealthCare
5,11/06/2023,Quick and professional,It was very easy to arrange and handled very professionally.,ABC HealthCare
5,12/07/2023,It was very quick and easy,It was very quick and easy. All the staff that o spoke with were very helpful and lovely. They helped me sort everything out,ABC HealthCare
3,06/06/2023,Starting to go a bit downhill...,"It would be unfair to give the lowest rating but I definitely feel I need to alert ABC HealthCare management, because things are worsening. I've been a member for 5 years and I benefited from their services so many times as a happy customer. Recently, however, the customer service quality has worsened, and I see from other reviews that generally speaking waiting times have gone up. Today in particular using the webchat I was bounced from team to team for 45 mins to then get disconnected. I had to start over and after 1h15 mins in total I was told that my claim would take 21 working days to be processed. I was used to get premium service from ABC HealthCare, now it feels like contacting a phone network provider! Please get it right before it goes really wrong.",ABC HealthCare
1,12/06/2023,It's a horror story,"It's a classic situation. Significant stress as initially reimbursement of overpayment of insurance premium took months to receive, after numerous chasers by me!. Then received acknowledgement of their systems and an apology by ABC HealthCare that they process was not acceptable and a compensation payment was due to me. However progressing this compensation payment has been equally cumbersome. Paperwork processing was around two weeks for their approval, then it was 'cheque in post' for nearly two weeks and still NOT received. I have their medical insurance and, as a pensioner, it might warrant use to overcome severe stress for a pensioner. Finally received cheque reimbursement - 22nd May ABC HealthCare letter accepting their service was inadequate and compensation was due to me and 12th June when cheque finally arrived in the post, approx 3+ weeks later!",ABC HealthCare
1,20/04/2023,Not great 👎🏼,It’s been 4 weeks since my first appointment to which I require treatment and I am still waiting to hear any update regarding getting an appointment.,ABC HealthCare
5,02/07/2023,It’s been an amazing experience,It’s been an amazing experience,ABC HealthCare
5,12/04/2023,Easy to get help.,It’s been simple to engage with you and the service has been prompt. I’ve appreciated the clarity of the phone we calls with your staff who have all been compassionate and as helpful as possible.,ABC HealthCare
1,28/06/2023,Would not recommend ABC HealthCare,"I’m in to my second year of membership with ABC HealthCare and have just tried to use them for a bad shoulder. It’s been a nightmare and very expensive. Having spent £3.5K in monthly fees I’ve been handed a hefty bill. It’s impossible trying to get hold of them on the phone, your left waiting up to 45mins to get an answer, the best was 15. Eventually I get an authorisation number and 3 specialist which they recommended and then you have to choose and book yourself. Out of the 3 only 1 was available so that’s who I selected. Had my appointment and the specialist advised an injection was the remedy and I can do it now. So I agreed and thought that would be it. I have today received 2 bills. 1 for the specialist which I have to pay an excess which I was aware off. The second is for the centre where I had the procedure which is £365, ouch. I’ve been told by ABC HealthCare again after waiting ages the centre wasn’t in their network of hospitals so they wouldn’t cover it!! What how was I meant to know that and in fact why should I they recommended the specialist so I would thought they would only recommend ones that work in their network I’m flabbergasted. So what should have been a fairly simple procedure has cost £615 and it would appear I need a 2nd jab which the specialist did advise at the time. It’s back to the NHS so it’s going to be a long wait but I can’t justify the cost of the appalling service by ABC HealthCare. Shop around or my wife and I are going to start saving the monthly fees which we can use if required. Clive Bayliss The saga continues I have just heard from my complaint handler, even though they have admitted I was not informed the place where I was seen is not in their network. The good news is they would cover those costs but the bad news is now I’m cancelling the policy they won’t!! How can this be right the monthly payments go out on the 7th of the month, June’s was paid and I cancelled the direct debit yesterday 29th June and as you have to do informed the company which I did on the 29th and they’ve cancelled the policy  immediately rather than the 6th of July which is when we are paid up to. Be very if you’re thinking of getting health cover and don’t use ABC HealthCare. It has been a very expensive mistake. A bit of good news they have admitted their mistake and will now pay the Candover clinic bill which is a great relief even though my shoulder still hurts. All in all it’s not been a good experience be sure to read the small print!!",ABC HealthCare
5,14/07/2023,I’m so impressed with how attentive and…,I’m so impressed with how attentive and caring the staff are at ABC HealthCare. It’s easy to call them up and I always get a timely response.,ABC HealthCare
1,03/05/2023,Incompetent member support and poor communications,"I’ve been with ABC HealthCare for over fifteen years. Consistently their telephone service has been poor with long delays, and I recently had the worst experience ever. I received my annual renewal and the cost of our family of three had risen from approximately £11,000 to £17,000. I called them to ask if we could trim some elements from the cover to reduce the cost and the telephone assistant re-quoted for a reduced cover package, but instead of a reduction she quoted a further increase to over £18,000. I found the person to be completely incompetent and lacking in product knowledge or qualified to advise. She seemed to be merely following prompts on a computer screen. I asked to register a complaint and was informed that I needed to stay on the line longer in order for a complaint process to be instigated.  After spending 50 minutes on the call I  decided to shop around and have since transferred to AXA who I found to be super-efficient and I now pay less than £5,000 for the same cover. I am habitually resistant to change but wish I’d taken the time years ago to shop around for a better provider!",ABC HealthCare
5,05/06/2023,Review,"I’ve had a few dealings with Tima from the Cash Plan team, and I have to say I have been astounded with the level of customer service demonstrated and her willingness to go the extra mile, she evidently cares for ABC HealthCare customers and is a huge asset to your organisation.",ABC HealthCare
5,26/07/2023,Very happy new customer!,"I’ve just signed up for private health insurance and had my introductory call with Healthcare Consultant, Jake Singh. It was quite possibly one of the best calls I’ve ever had! Jake was incredibly patient and thoroughly informative and took the time to explain the areas I was less knowledgeable on. Nothing was too much of an issue and I felt truly cared for on a one to one basis. I wasn’t rushed off the phone and I was made to feel like a valued customer. Jake was very friendly and had a very kind nature about him. He was also incredibly professional and had extensive knowledge on company policy which was very helpful. I truly enjoyed my call with him! Exceptional customer service. Thank you",ABC HealthCare
5,18/07/2023,"Pleasant, efficient and pfofessional","I’ve recently had cardiac surgery and am now having a follow up consultation. The young man at ABC HealthCare was very pleasant, professional and efficient. I couldn’t ask for more.",ABC HealthCare
5,04/07/2023,I’ve used ABC HealthCare twice now,"I’ve used ABC HealthCare twice now, it’s definitely worth paying for their service. Professional and helpful customer service, and great variety of choice when choosing a consultant. Most importantly, a GP on hand at all times via the app.  Unfortunately with the way the NHS is going this is a great way of making sure you are as healthy as can be, as that’s the most important thing.",ABC HealthCare
5,30/06/2023,Happy customer,Jake was very patient with me and answered my questions clearly. I didn’t feel rushed to make a decision on the spot and was the time to make an informed choice on what plan is right for me. Keep up the good work Jake.,ABC HealthCare
5,20/06/2023,Kind,"Knowledgeable, kind and very helpful",ABC HealthCare
1,01/05/2023,Lack of response to request on 3…,"Lack of response to request on 3 occasions. No communication pre the decision not to pay until i stayed on a call for 20 mins . The extraction i had and subsequent treatment were 2 separate sessions, only once id had the extraction did i sign up for the further treatment.",ABC HealthCare
1,22/07/2023,ABC HealthCare blua app,"Last night, I experienced a medication reaction that was given to treat stomach ulcers as a result of an endoscopy. I couldn't sleep at all and wanted to consult a digital GP at 2 AM. Unfortunately, the ABC HealthCare blua app didn't provide suitable options in the symptom checker for me to book an appointment and ask me to self treat. Babylon's symptom checker was much better then this new app. Eventually, I had to resort to using the 111 service and waited an hour to speak with an NHS GP. I plan to provide this feedback to our company's HR as there's no point in having insurance if it can't be effectively utilized. This app needs to have more flexibility for a person to able to write their symptoms or choose other and be able to still book in case the symptom checker doesn’t have options.",ABC HealthCare
2,29/06/2023,Let me down when I needed them most.,"Let me down when I needed them most.  Changed my employer who provided ABC HealthCare cover,  whilst undergoing treatment, and took out private continuation cover, which they then refused the treatment on.  Feel cheated and they have let me down when I needed them most.  Despite having ABC HealthCare cover throughout my treatment period, they can't even decide amongst themselves the actual reason for declining, I have gone from them providing a pre-authorization, to having it put on hold, to having it declined for 2 different reasons.  I wouldn't recommend, they are very keen to take the premiums, but not provide the payouts.  Will be escalating this as a formal complaint to the ombudsman.",ABC HealthCare
1,23/05/2023,Like most big companies nowadays,"Like most big companies nowadays , you take out cover then cant get through to them any more to change something on your policy , I got a email telling me to ring a number because she's unable to sort it from her end/which was invalid,  I finally get through and she wants to get the said colleague to ring me back to sort it ,I said wowww slow down, she says well I don't know why she's advised that ?? , as they say in Scotland, ""absolute Passhe "" Think its best to take out cover with a couple of providers so you can see who's worth it and cancel the other , Great Britain, where everything is broken .pffff game on , help :(((",ABC HealthCare
3,06/04/2023,Long wait for phone to be answered,Long wait for phone to be answered - also had an instance where code wasn't recognise by AI and payment rejected - took two attempts of over an hour each to resolve situation.  May have got the date wrong - i have just guessed.,ABC HealthCare
5,03/07/2023,Lovely staff,"Lovely staff, good time keeping",ABC HealthCare
5,25/04/2023,Knee arthroscopic left,MADE TO FEEL YOU WHERE WELCOME AND EVERYONE WAS ON THE BALL COMING IN CHECKING ALL WAS OK AND CARRYING OUT TESTS ETC VERY PROFESSIONAL,ABC HealthCare
3,03/07/2023,Messed up last 2 invoices for follow up…,"Messed up last 2 invoices for follow up consultations, treating them as initial consultations so for me to pay.  This shouldn't have happened as they were clearly follow up appointments after my day surgery.  Had to contact ABC HealthCare both times to correct it.  I used the online chat to get this sorted.",ABC HealthCare
1,08/05/2023,Terrible service,"Moratorium period essentially makes my policy useless to me for 2 years. Trying to speak to them on phone is as bad as trying to call my GP, endless call wait times and no customer service. I have an open complaint with them right now that I've had zero response on for nearly 3 weeks and instead I got this trustpilot invite to review them! If you want to use the policy for anything chronic or mental health related you may as well go the NHS route.",ABC HealthCare
5,27/04/2023,Most staff at ABC HealthCare were very helpful,Most staff at ABC HealthCare were very helpful,ABC HealthCare
1,29/03/2023,Not paying an approved theray,"Multiple calls taken after more than 1 hour wait.  They keep promising to pay the physio after an already approved therapy, but still not progressing anything.  Waiting more than 4 weeks for the payment to be processed. Worst service ever!",ABC HealthCare
5,02/07/2023,My advisor called my dentist to verify…,My advisor called my dentist to verify my treatment as I had not supplied an itemised bill.  Very impressed.,ABC HealthCare
1,07/06/2023,My appointment was cancelled and I was…,My appointment was cancelled and I was promised a call back with a rescheduled date which has not happened,ABC HealthCare
4,09/05/2023,High quality care,"My appointment was made for a convenient time and took place punctually and efficiently, with excellent levels of care throughout. Only complaint would be the time (+40mins) taken on the phone to ABC HealthCare to get hold of an authorization code for the procedure.",ABC HealthCare
5,18/04/2023,Thank you ABC HealthCare,"My call to Ashleigh, the ABC HealthCare Agent was so very helpful and kind whilst being very professional- my reason for calling was dealt with efficiently and satisfactorily- thank you ABC HealthCare",ABC HealthCare
5,04/05/2023,Phone Experience,My call was answered quickly and  my query dealt with politely and professionally,ABC HealthCare
5,05/04/2023,Shoulder pain,My call was answered quickly and triage arranged promptly. I was given 3 local option for my physio to arrange directly. Unfortunately one was very local but this maybe an systems fault.,ABC HealthCare
2,20/07/2023,Don’t expect to be able to see your choice of medical professional.,"My choice of physiotherapist has been removed from ABC HealthCare’s list (because she didn’t see enough patients in our rural community) and ABC HealthCare refuse to reimburse  me if I see her, despite being closest to where I live.",ABC HealthCare
1,08/07/2023,Avoid ABC HealthCare!!,"My company moved over to ABC HealthCare for dental insurance this year. I've had endless problems with them, their ABC HealthCare touch portal is full of bugs, and I've been unable to raise a claim since joining. I've logged a ticket with their digital team after spending more than 40 min waiting to talk to someone. It's been 4 days since I've logged the issue and it is not yet resolved, and they do not respond to emails. I would avoid joining ABC HealthCare at all cost... I wish my company did not decide to move to ABC HealthCare. We were previously with Denplan, Simplyhealth, and their service was excellent. AVOID!!",ABC HealthCare
1,18/07/2023,My company recently changed over from…CIGNA,"My company recently changed over from Cigna (excellent service) to ABC HealthCare. First called on the 15th June 2023 and spoke to Carl who gave me a pre authorisation number for an upcoming consultation. he was extremely efficient. However, on the 18th July at 12.08 I called to get pre authorisation codes for scans my consultant has booked for October and December and the lady I spoke to was not helpful at all. I had to repeat myself multiple times as she didn't appear to understand me. (she had a French accent) I was distressed as she said she couldn't authorise the scans as they were too far ahead and said that I also may not be eligible. I have raised this with my HR department to investigate further.",ABC HealthCare
5,13/03/2023,My enquiry was handled well with no…,My enquiry was handled well with no problems.,ABC HealthCare
4,25/05/2023,Great dentist - admin needs work,"My experience at the practice was brilliant but booking in as a new patient was not the best experience and if I didn't have dental insurance with ABC HealthCare, I might have given up. The dentist was really good, gave clear explanations of what was needed and a comprehensive plan of action.",ABC HealthCare
1,26/04/2023,Poor poor poor,My experience has been nothing short of poor.  Can never speak to anyone.  Average online wait time to chat to someone has been 70+ minutes.  Can't get through on the phone.  Been waiting over a month to hear back on a claim I have submitted.,ABC HealthCare
1,04/08/2023,Paying a premium for the privilege of being inconvenienced,"My experience is not a good one and I feel ABC HealthCare as a brand should be much more conscientious of its approach to dealing with the health of its customers.  The general impression I get from the extensive telephone discussions I have held with multiple individuals, is that ABC HealthCare appears to want to do everything within its power to make your experience a horrific one. The process feels more like an attempt to wear down the customer by way of attrition if nothing else.  I have been swapped and passed off to various call handlers on numerous occasions, then told they cannot get through to team xyz and so will call me back later or tomorrow. I am sorry, but if I had cancer for example and was being chucked around as I have been, then I would absolutely have a mental collapse.  ABC HealthCare at this point are more likely to cause me health issues, as opposed to resolving them. ABC HealthCare should perhaps realise that we pay our premiums so that we can be helped swiftly and efficiently. Why is there an endeavour and/or active campaign by ABC HealthCare to make everything so difficult?   It is absolutely shameful in my opinion and ABC HealthCare should be embarrassed. I would not recommend ABC HealthCare. I am in the process of sourcing an alternative health care provider.  The responses from ABC HealthCare on here to those with complaints and concerns are even more shameful. You can see the lack of interest in retaining or helping customers. It is an embarrassment and a money scam.",ABC HealthCare
5,08/08/2023,My experience with ABC HealthCare is so great and…,"My experience with ABC HealthCare is so great and seamless. The advisor is polite and knowledgeable. I got admitted to a reputable hospital in London, and all staff are lovely. Me getting private healthcare is life-changing.",ABC HealthCare
1,04/05/2023,My experience with ABC HealthCare has been…,"My experience with ABC HealthCare has been extremely frustrating. I spent several hours attempting to book an appointment without success. The app crashed repeatedly, and I had to call various teams to address the issue. I paid an outrageous amount of money, for myself and my son, yet the quality of service I received was comparable to the NHS, if not worse. The fact that I had to pay for this subpar service only added to my frustration. I am very disappointed and saddened by the whole experience.",ABC HealthCare
5,13/04/2023,My queries were dealt with efficiently…Efficient,My queries were dealt with efficiently and I valued being in ABC HealthCare,ABC HealthCare
5,18/07/2023,My query was dealt with quickly and…,My query was dealt with quickly and efficiently.,ABC HealthCare
5,15/05/2023,My recent experience at ABC HealthCare solihull…,My recent experience at ABC HealthCare solihull was good.   I had a detailed discussion with the doctor re my concerns. Doctor was very good in diagnosing the problem and I was referred back to physio. Not to mention doctor was thorough in his field.  So far physio sessions have provide me some relief. Physiotherapist has been very helpful too.   I am happy with the experience so far.  Thank you! Snehal,ABC HealthCare
5,30/06/2023,My recent experience with ABC HealthCare…,My recent experience with ABC HealthCare insurance is great. Their team responds very promptly and I am very happy to have health cover with them . I would strongly recommend them and in my case I was lucky enough to be associated with them through my current employer.,ABC HealthCare
5,01/05/2023,My request was handled with courtesy…,"My request was handled with courtesy and friendliness I would like to give the ladies name which was Charlotte, she was very helpful",ABC HealthCare
5,04/06/2023,My right hip replacement handled with…,My right hip replacement handled with empathy and efficiency,ABC HealthCare
2,30/07/2023,Constantly mixing up me and son (same first name),"My son has the same first name as me, but ABC HealthCare constantly mess up bills coming from my local private hospital, they charge it to me and say I have to pay, even know its was pre-approved for my son, then it 3-4 phone calls lasting hours to sort it out, really not impressed, why can they not deal with this!! they don't appear to look at DOBs or the authorization numbers.....",ABC HealthCare
5,30/06/2023,Shoulder injury,My treatment is still ongoing but so far the treatment has been amazing and so professional.,ABC HealthCare
5,04/06/2023,My visit to ABC HealthCare was great,"My visit to ABC HealthCare was great, the staff were friendly, welcoming and the service was really quick.",ABC HealthCare
5,09/08/2023,We heartily recommend ABC HealthCare.,"My wife and I  have been with ABC HealthCare for at least four decades and have aways four their telephone representatives to be friendly, efficient, professional and extremely helpful.  We have found that their administration and accounting efficient too.  We heartily recommend ABC HealthCare.",ABC HealthCare
1,24/04/2023,Near impossible to get through to…,"Near impossible to get through to helpline, which you are forced to do to obtain authorisation. Have had to wait over 60 minutes. They claim a new app helps but it does not work. Truly shockingly bad customer service.",ABC HealthCare
5,22/06/2023,everything done to our satisfaction,Needing two cataract operations meant timing of these was important due to other medical problems within the family. the authorisation of the procedures was granted immediately and dates soon agreed with the consultant  the whole process was hassle free and completed to our satisfaction,ABC HealthCare
5,05/07/2023,My Experience with ABC HealthCare,Nice Doctor nice surroundings,ABC HealthCare
2,08/05/2023,Nightmare to actually speak to anyone…,"Nightmare to actually speak to anyone so have to do it via website, then takes another 5 days for anyone to get back to you. Web chat not great either",ABC HealthCare
1,23/04/2023,No communication on claim,No communication on claim constantly following up. Claim rejected even though I sent them the information they asked for.,ABC HealthCare
5,04/05/2023,Excellent tTreatment,"No fuss accessing the treatment I needed at the hospital I preferred.  The pre, during and post operation  experience was excellent with an appropriate amount of  Physio to aid recovery.",ABC HealthCare
5,03/07/2023,No issues whatsoever,No issues whatsoever. Everything went smoothly.,ABC HealthCare
5,05/06/2023,No problem authorising treatment with…,"No problem authorising treatment with friendly, helpful staff.",ABC HealthCare
1,19/06/2023,Nobody answers my call,Nobody answers my call. Keep saying we are sorry for the extended delay. I can’t even set up my digital account. It’s a joke.,ABC HealthCare
5,30/07/2023,"Caring, professional, successful","Nobody chooses to be in hospital, but having no other choice i was met by a great bunch of professional people who delivered great care, guiding me through my treatment with patience, understanding and the occasional laugh. All the Doctors, nurses and support staff worked well together and had an excellent rapport, i had a successful treatment, for which I'm extremely grateful.  The hospital is maintained to a high standard and i thoroughly enjoyed the food.",ABC HealthCare
3,16/04/2023,Not easy to communicate by telephone…,Not easy to communicate by telephone (preferred method). Lengthy wait on hold.,ABC HealthCare
2,09/04/2023,Not great at responding to you quickly…,Not great at responding to you quickly when making enquiries,ABC HealthCare
4,20/06/2023,"Great treatment, disjointed process","Not the easiest process to work out how to actually book an appointment and get the right admin done when booking through work ABC HealthCare plan, but phone adviser, hospital staff and consultant were all excellent. Follow-up appointment and recommended treatments booked easily enough, and getting second pre-authorisation was a simple phone call.",ABC HealthCare
5,17/07/2023,Not too long a wait til representative…,Not too long a wait til representative answers. Helpful and knowledgeable and pleasant.,ABC HealthCare
2,08/05/2023,Numerous tele calls,"Numerous tele calls, always ending up at the admin centre when trying to book a follow up app! Told by call centre staff ‘you must have pressed the wrong option!’ Etc. etc. 3 hours later app. Booked! Appalling!",ABC HealthCare
5,21/04/2023,"Easy, informative, kind staff","Obtaining the authorisation code for my procedure was very easy. Paying the excess was easy. Unfortunately, the procedure went wrong, so I will need it done at a later time and the lady I spoke with on the phone about this was very reassuring that it would still be covered and she provided me with all the information I needed for the future. She was also very sympathetic, which I appreciated very much.",ABC HealthCare
4,01/05/2023,Clean and friendly,Ok - would be good to have a follow email to ask all the questions you forget to ask in consultation,ABC HealthCare
5,08/06/2023,Omar and Ged made a huge difference to…,"Omar and Ged made a huge difference to supporting and helping me with my questions  Honestly corporate ABC HealthCare is phenomenal, private is terrible and I wouldn't recommend",ABC HealthCare
3,08/05/2023,On the whole a good service,"On the whole a good service.  Unfortunately in recent times, getting through a newly automated call-handling service can be annoying to impossible. Once through that system call wait times can be very long listening to music, always seem to be busy.  After the wait, once with an agent I typically find them friendly and helpful and advise on the best routes of treatment or consultants.",ABC HealthCare
3,15/05/2023,Some frustrations,"On the whole the people on the phone are very nice and polite but there are a few things that are really annoying and it would make a huge difference to the service and experience if they could be addressed and improved. Firstly, ABC HealthCare ask me to keep calling to update them on everything to do with my claim - such as where the newly requested X-rays will be done, which is fine except that a) I often have to wait some time to get through on the phone which is frustrating in itself. If there was a separate number or button to press for following up on an existing claim that would be helpful and probably speed thing up! And b) when I do speak to someone at ABC HealthCare to update my claim (eg. If the consultant has said he wants X-rays done in addition to the mri requested), each time I speak to someone new who doesn’t know anything about my claim and I have to go through all the details again about who the specialist I am seeing is and where I am seeing them and what it’s about. Surely notes could be kept up-to-date on the system so I don’t keep having to go through it all and keep having to get new authorisation codes with every new update!",ABC HealthCare
3,12/04/2023,Once I had an authorisation for treatment,Once I had an authorisation for treatment everything worked extemely well.  Getting an authorisation for treatment was a nightmare withlong telephone delays and equally long delays in trying to have a chat.  I hope they have sorted our the inability of members to make contact with only a reasonable waiting time,ABC HealthCare
4,29/03/2023,Customer service needs improving,"Once I had managed to get authorisation for consultation and subsequent operation it was fine. However I tried to phone for authorisation mid afternoon on 2 weekdays and held on to ""music"" for 38 and 27 minutes with no reply. Tried on line and the ""chat"" showed so typed in my question and it came back there was a 58 minute delay. As it was cancer related I was able to seek authorisation on line but still waited 3 days to receive it. This is unacceptable for  members who are already stressed at this time.",ABC HealthCare
3,18/04/2023,Long wait for the call to be answered but good service once I spoke to someone,Once I spoke to someone they were helpful but I had to wait 45 minutes for one call and over an hours for the next. Very frustrating and no timescales given whilst on the call about how long the wait was and no option for a callback.,ABC HealthCare
1,02/06/2023,Once again - hopeless,"Once again, staggeringly long waiting times to get through to authorise treatment. I tried using the app - but that is no better. Just the usual, pointless bot, which provides no help. How does a company get way with treating its customers like this?",ABC HealthCare
5,29/06/2023,ABC HealthCare,Once the process started it flowed smoothly,ABC HealthCare
3,10/07/2023,Phone issues,"Once you get through no issues , really helpful",ABC HealthCare
4,19/04/2023,Once you get through to someone,"Once you get through to someone, they are always informed, helpful and efficient. It does take an extraordinary long time to have your call picked up - approx. 1+hour on hold is a trial! Other than the long delay getting connected this would be a 5 star experience",ABC HealthCare
5,03/04/2023,One of the best services I have ever…,"One of the best services I have ever used! Holly I spoke too made my experience so easy and effortless, potentially saving my life! So I am very grateful to have this experience",ABC HealthCare
1,28/02/2023,One of the worst and pathetic insurance…,One of the worst and pathetic insurance service providers ever seen. I have a corporate insurance and whenever I try to use that I never get any useful response and guidance I feel it's just a waste of money I pay for insurance when you can't access the same.,ABC HealthCare
1,02/04/2023,One star for the level of difficulty in…,One star for the level of difficulty in getting through on the phone lines to request authorisation. I spent over an hour the first time and 40 mins the second time,ABC HealthCare
4,23/05/2023,Helpful Operators,Operators are helpful however the process with regards to getting codes for treatment etc could be communicated better and communication via email should be a standard.,ABC HealthCare
